Store_name,Category,Review,TV,Biztel,Address,Menu,Homepage,페이스북,인스타그램,블로그,웹사이트,Convenience,Desc,10,20,30,40,50,60,Female,Male
돝고기506돼지고기구이,돼지고기구이,2927,,02-6933-9506,"서울 강남구 역삼로17길 53
지번역삼동 739-13지도보기","17,000원
A506 숙성 삼겹살 150g
17,000원
i506 숙성 목살 150g
19,000원
D806 숙성 삼겹살 150g
32,000원
한우 육회 170g
37,000원
숙성 한우 채끝등심 100g
메뉴판(원산지) 이미지로 보기
더보기",https://catchtable.co.kr/widget/reservation?shopRef=83ai3Ozem21h8w8MuDOyfA,,http://www.instagram.com/dot506_official,,,"단체석, 주차, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분","돝고기506
저희 돝고기는 21일, 총 506시간을 숙성하고 51번의 과정을 거처서 고객님의 상에 올라갑니다
27년의 노하우를 가진 우가 R&D팀이 2년간의 연구개발을 통해 완성된 독창적이고 과학적이 숙성을 통한 최고의 돼지고기 숙성육입니다.
일반적인 숙성과는 다른 과학적 연구에 기반한 액티브에이징 리얼 숙성육을 느끼실수 있습니다.
 2층 홀은 선착순으로만 이용가능(예약불가)
3층 블랙 프라이빗룸 예약제 운영
(룸차지 점심20000원 ,저녁50000원)",height: 6.93733%;,height: 80.872%;,height: 81.3453%;,height: 77.83%;,height: 44.1427%;,height: 34.1587%;,53%,47%
클로리스 티 앤 커피홍차전문점,홍차전문점,3571,,02-553-7523,"서울 강남구 테헤란로 152
지번역삼동 737 강남파이낸스센터 지하1층지도보기","5,800원
대표
밀크티
4,800원
대표
허브
4,500원
아메리카노
5,200원
홍차
10,000원
밀크티빙수
메뉴판(원산지) 이미지로 보기",,,,,,"단체석, 주차, 포장, 무선 인터넷, 남/녀 화장실 구분","고풍스러운 인테리어의 티 전문 카페입니다. 순수함을 상징하는 여신의 이름에서 카페 이름을 따왔다고 하는데요. 홍차 고유의 맛을 잃지 않고 초심 그대로 유지하겠다는 모토를 담고 있습니다. 홍차와 밀크티가 다양한 메뉴를 선보이고 있어 인기가 높은데요. 카모마일, 스트러스, 레몬그라스 등 허브티도 많이 찾는다고 합니다.",height: 39.8873%;,height: 78.848%;,height: 66.179%;,height: 45.459%;,height: 30.245%;,height: 34.6637%;,54%,46%
빌즈 강남,,"10,527",,02-568-1353,"서울 강남구 테헤란로 142
지번역삼동 736-1 아크플레이스 2층지도보기","19,800원
대표
빌즈 리코타 핫케이크
24,000원
대표
풀오지
22,000원
치킨 시저 샐러드
24,000원
탈리아텔레 파스타
메뉴판(원산지) 이미지로 보기",http://www.billskorea.com,,http://www.instagram.com/billskorea,,,"단체석, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 장애인 편의시설","*평일과 주말, 공휴일 모두 오후 1시부터 오후 2시 30분까지 예약을 받지 않습니다. 현장에서 최대한 빠르게 안내해드리겠습니다. 양해해 주셔서 감사합니다.

2019년 1월 1일부터 빌즈 잠실과 빌즈 광화문의 오픈 시간이 오전 8시에서 오전 9시로 변경됩니다. 빌즈 강남의 오픈 시간은 그대로 오전 8시입니다. 2019년부터 변경된 영업시간은 아래와 같습니다. 빌즈는 365일 연중무휴입니다. 감사합니다.

빌즈 잠실 - 매일 09:00 ~ 22:00  마지막 주문 21:00
빌즈 광화문 - 매일 09:00 ~ 22:00  마지막 주문 21:00
빌즈 강남 - 매일 08:00 ~ 22:00  마지막 주문 21:00

올데이 캐주얼 다이닝 빌즈(bills)는 호주 특유의 따스하고 편안한 라이프 스타일과 식재료 본연의 맛을 그대로 살린 건강한 메뉴를 선보입니다. 오가닉 스크램블에그, 리코타 핫케이크 등 빌즈 클래식 메뉴와 다양한 건강 음료, 호주식 커피를 즐기실 수 있습니다.",height: 34.2967%;,height: 76.805%;,height: 71.7307%;,height: 64.1567%;,height: 44.8473%;,height: 43.7503%;,60%,40%
백제원역삼지에프시점한식,한식,3047,,02-2051-1122,"서울 강남구 테헤란로 152
지번역삼동 737 강남파이낸스센터지도보기","15,000~20,000원
런치정찬
82,000~98,000원
백제원 스페셜 코스
87,000~98,000원
디너코스 (한우오마카세)
30,000~54,000원
숯불구이
28,000~38,000원
런치정식
메뉴판(원산지) 이미지로 보기
더보기",http://didimworld.co.kr/,https://www.facebook.com/DidimDining/,,,,"단체석, 주차, 포장, 예약, 남/녀 화장실 구분",,height: 35.6391%;,height: 80.82%;,height: 83.6276%;,height: 82.8702%;,height: 93.7476%;,height: 81.8156%;,46%,54%
카페마마스 역삼점카페,카페,72,,02-538-1280,"서울 강남구 논현로85길 7
지번역삼동 738-6지도보기","13,900원
대표
리코타치즈샐러드
9,800원
대표
모짜렐라 토마토 파니니
7,400원
마마스스프
5,200원
청포도주스",http://cafemamas.co.kr,,,,,"주차, 포장, 예약, 무선 인터넷","샌드위치 전문 카페 카페마마스의 역삼 점. 간단히 샌드위치, 빵과 음료를 즐길 수 있다. 특히 샌드위치와 파니니, 샐러드가 인기가 많다.",height: 32.1524%;,height: 99.2538%;,height: 88.5093%;,height: 60.5818%;,height: 41.5116%;,height: 41.9827%;,56%,44%
피키이터 역삼점브런치,브런치,225,,02-558-5465,"서울 강남구 테헤란로26길 14
지번역삼동 736-58 B1지도보기","8,000원
연어샐러드
6,000원
아보카도토스트
8,000원
아보카도계란샌드위치
9,500원
새우엔초비파스타
5,500원
아보카도바나나요거트
메뉴판(원산지) 이미지로 보기",http://www.instagram.com/pickyeater_yeoksam/,,,,,"단체석, 주차, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분","'eat better, feel better'
피키이터는 깐깐한 입맛으로 정직한 음식을 만드는 곳입니다.
제철 식재료를 이용한 샐러드, 토스트, 샌드위치, 파스타, 요거트, 착즙쥬스 등을 만들며, 
모든 소스와 드레싱, 요거트는 매장에서 직접 만들어 제공합니다.",height: 40.0825%;,height: 99.004%;,height: 88.114%;,height: 73.6175%;,height: 56.508%;,height: 60.7595%;,59%,41%
핑크솔740이탈리아음식,이탈리아음식,4875,,02-558-0740,"서울 강남구 테헤란로20길 25
지번역삼동 740지도보기","19,000원
대표
핑크크림파스타
19,000원
대표
쉬림프로제파스타
37,000원
한우채끝등심스테이크
18,000원
로제치킨파스타
20,000원
프라임립깻잎리조또
메뉴판(원산지) 이미지로 보기",http://www.instagram.com/pinksol_740,,,,,"단체석, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분","핑크솔 740은  화덕에 구운 피자, 파스타, 플레이트 메뉴, 맥주, 와인을 즐길 수 있는  
이탈리안 레스토랑입니다.
젊고 트렌디한 쉐프의 솜씨로 핑크솔만의 시그니처 메뉴를 가지고 있으며, 
신선하고 건강한 식재료로 만든  이탈리안 퓨전 요리를 선보입니다.

도심 속, 근교 여행을 떠난  기분을 느낄 수 있는 오감충전 핑크솔740
30년된 나무와 갖가지 꽃으로 가득한 정원, 전망 좋은 루프탑은 소규모 파티를 하기에도 적격입니다.
20-30명 내외 프라이빗 모임을 위한 독립된 공간이 있습니다.

발렛서비스는 저녁 6시경 부터 가능 합니다.
(점심시간에는 주차가 어려우니 양해 바랍니다 - 주차 공간 1대)",height: 35.7524%;,height: 98.4116%;,height: 86.7622%;,height: 54.7467%;,height: 41.272%;,height: 43.4378%;,51%,49%
"오발탄 역삼점곱창,막창,양","곱창,막창,양",7,,02-2051-7775,"서울 강남구 논현로86길 12
지번역삼동 725지도보기","34,000원
대표
특양구이",http://www.hiobaltan.com/,,,,,"단체석, 주차, 발렛파킹, 포장, 예약, 남/녀 화장실 구분","깔끔하게 입맛을 사로잡는 오발탄만의 독특한 소스와
지방분이 전혀 없는 쫄깃한 보양식 특 양구이, 고소하고 쫄깃한 육질이 일품인 대창구이를 오발탄 역삼점에서 맛보세요.",height: 29.5849%;,height: 74.0298%;,height: 76.772%;,height: 96.2484%;,height: 85.396%;,height: 66.2769%;,45%,55%
남도애꽃한정식,한정식,3457,생생정보통,02-561-3955,"서울 강남구 테헤란로14길 16
지번역삼동 823-30 라인빌딩지도보기","28,000원
대표
보리굴비 한상(점심)
60,000원
대표
원앙 코스
29,000원
설레는꽃코스(점심)
35,000원
간장게장 한상(점심)
32,000원
매운갈비찜 한상(점심)
더보기",http://www.남도애꽃.kr/,,,,,"단체석, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분","맛의 고장 남도의 별미를 한정식 코스로 선보이는 남도 한정식 매장입니다. 
김일로 시인의 작품을 매장내에서 다양하게 감상 가능하시며 
여러개의 개별 룸으로 매장이 구성되어 있어 조용하게 식사 가능하십니다.
단체모임 미리 예약주시면 세팅해 드립니다.  발렛파킹해드립니다.",height: 26.3847%;,height: 56.8487%;,height: 62.0637%;,height: 77.363%;,height: 75.2413%;,height: 69.204%;,45%,55%
바스버거 역삼점,,2181,,02-568-6654,"서울 강남구 테헤란로26길 10
지번역삼동 736-55 성보빌딩 지하1층지도보기","6,300원
바스버거
7,400원
바스치킨버거
7,700원
하와이안버거
8,700원
칠면조버거
9,000원
머쉬룸버거
메뉴판(원산지) 이미지로 보기
더보기",http://www.basburger.net/,http://facebook.com/basburger.kr/,http://www.instagram.com/basburger_/,http://basburger.blog.me/,,"단체석, 포장, 예약, 무선 인터넷","부담없는 가격에 만족스러운 수제버거를 제공합니다.
수제버거를 밀크쉐이크 그리고 다양한 수제맥주와 함게 즐겨보세요!

-평일 월~금 11:00~23:30
         배달 10:30~22:00 
         버거 L.O. 22:00
         튀김류,맥주 L.O. 23:00
-주말 11:30~21:00
            배달 11:00~20:00 
            버거 L.O. 20:00
           튀김류 L.O. 20:00",height: 47.2395%;,height: 96.674%;,height: 88.0525%;,height: 78.559%;,height: 60.2805%;,height: 59.525%;,50%,50%
